Name,Brand__c,Model__c,Sale_Price__c,Seating_Capacity__c,Engine_Power__c,Fuel_Type__c,Transmission_Type__c,Range__c,Top_Speed__c,Torque_Nm__c,Weight_Kg__c,Safety_Rating__c,VIN_Number__c,Condition__c,Mileage__c,Year_of_Manufacture__c
Toyota,Toyota,RAV4,32000,5,150,Gasoline,Automatic,550,200,180,1450,5,JTMWR123456789012,New,0,2022
Honda,Honda,CR-V,31000,5,160,Gasoline,Automatic,570,195,170,1430,5,2HKRW123456789012,New,0,2023
Ford,Ford,Explorer,45000,7,200,Gasoline,Automatic,520,210,250,1950,5,1FM5K123456789012,Used,35000,2020
BMW,BMW,X5,60000,5,300,Diesel,Automatic,600,230,300,2100,5,WBA12345678901234,New,0,2023
Mercedes,Mercedes,GLC,58000,5,250,Diesel,Automatic,590,225,280,2050,5,WDC12345678901234,Used,12000,2021
Audi,Audi,Q5,57000,5,240,Diesel,Automatic,580,220,270,2000,5,WA123456789012345,New,0,2022
Kia,Kia,Sorento,35000,7,180,Gasoline,Automatic,540,185,200,1600,4,KNA12345678901234,Used,40000,2019
Nissan,Nissan,Rogue,30000,5,150,Gasoline,Automatic,550,190,180,1500,4,5N1AT123456789012,Used,23000,2018
Chevrolet,Chevrolet,Traverse,45000,7,200,Gasoline,Automatic,510,200,260,1950,5,1GNEV123456789012,New,0,2023
Hyundai,Hyundai,Tucson,34000,5,180,Diesel,Automatic,600,190,210,1550,5,KM8J1234567890123,Used,10000,2021
Tesla,Tesla,Model Y,60000,5,300,Electric,Automatic,700,250,330,1900,5,5YJY1234567890123,New,0,2023
Volkswagen,Volkswagen,Tiguan,37000,5,170,Gasoline,Automatic,560,200,220,1750,5,WVG12345678901234,Used,15000,2020
Renault,Renault,Duster,25000,5,140,Diesel,Manual,550,180,200,1400,4,VF123456789012345,Used,45000,2019
Peugeot,Peugeot,3008,36000,5,160,Gasoline,Automatic,580,190,210,1650,4,VF3A1234567890123,New,0,2022
Subaru,Subaru,Forester,33000,5,170,Gasoline,Automatic,540,200,220,1600,5,JF2S1234567890123,Used,30000,2021
Mazda,Mazda,CX-9,42000,7,200,Gasoline,Automatic,570,205,250,1900,5,JM3TC123456789012,New,0,2023
Toyota,Toyota,Highlander,45000,7,220,Gasoline,Automatic,560,210,270,2000,5,5TDYZ123456789012,Used,18000,2022
Honda,Honda,Passport,38000,5,190,Gasoline,Automatic,550,200,230,1750,5,5FNYF123456789012,New,0,2023
Ford,Ford,Bronco,48000,5,210,Gasoline,Automatic,540,215,260,1950,4,1FMDE123456789012,Used,22000,2021
BMW,BMW,X3,55000,5,280,Diesel,Automatic,600,225,290,2000,5,WBA123456789012345,New,0,2022
Mercedes,Mercedes,GLB,53000,7,220,Diesel,Automatic,590,220,280,1950,5,WDC123456789012345,Used,14000,2021
Audi,Audi,Q7,65000,7,300,Diesel,Automatic,620,240,350,2200,5,WAU123456789012345,New,0,2023
Jeep,Jeep,Wrangler,50000,5,280,Gasoline,Manual,400,200,400,2300,5,1C4HJ123456789012,Used,10000,2022
Nissan,Nissan,Pathfinder,44000,7,200,Gasoline,Automatic,530,205,250,1800,4,5N1DR123456789012,New,0,2023
Chevrolet,Chevrolet,Tahoe,75000,7,355,Gasoline,Automatic,600,225,520,2500,5,1GNSK123456789012,Used,15000,2021
Hyundai,Hyundai,Palisade,45000,7,290,Diesel,Automatic,610,210,310,2150,5,KM8R12345678901234,New,0,2023
Tesla,Tesla,Model S,90000,5,400,Electric,Automatic,800,260,370,2100,5,5YJSA1234567890123,New,0,2023
Volkswagen,Volkswagen,Atlas,40000,7,250,Diesel,Automatic,580,210,280,1900,5,1VWCM1234567890123,Used,5000,2022
Renault,Renault,Kaptur,27000,5,150,Gasoline,Manual,570,180,190,1450,4,VF123456789012345,Used,32000,2019
Peugeot,Peugeot,5008,39000,7,170,Gasoline,Automatic,580,195,220,1650,4,VR3F1234567890123,New,0,2023
